"Date de transaction","Numéro de compte ou de carte","Description","Revenu ou dépense","Montant","Monnaie","Catégorie"
"31.03.2026","CH56 0483 5012 3456 7800 9","SALAIRE MARS","Revenu","6'500.00","CHF","Salaire et rentes"
"28.03.2026","CH56 0483 5012 3456 7800 9","REGLEMENT CARTE 7648","Dépense","-1'250.00","CHF","Factures de carte de crédit"
"27.03.2026","CH56 0483 5012 3456 7800 9","VIREMENT EPARGNE","Dépense","-800.00","CHF","Transferts entre comptes"
"25.03.2026","CH56 0483 5012 3456 7800 9","REMBOURSEMENT ACHAT, RETOUR ARTICLE","Dépense","64.90","CHF","Achats"
"20.03.2026","CH56 0483 5012 3456 7800 9","LOYER AVRIL, RUE DE LAUSANNE 12","Dépense","-1'890.00","CHF","Ménage"
"15.03.2026","CH56 0483 5012 3456 7800 9","PRIME ASSURANCE MALADIE","Dépense","-412.30","CHF","Assurances"
"05.03.2026","CH56 0483 5012 3456 7800 9","ACOMPTE IMPOTS FRIBOURG","Dépense","-1'100.00","CHF","Impôts et administration"
"03.03.2026","CH56 0483 5012 3456 7800 9","BULLETIN DE VERSEMENT","Dépense","-45.00","CHF","Autres transactions"
"03.03.2026","CH56 0483 5012 3456 7800 9","BULLETIN DE VERSEMENT","Dépense","-45.00","CHF","Autres transactions"
"28.03.2026","****7648","PAIEMENT FACTURE CARTE","Revenu","1'250.00","CHF","Factures de carte de crédit"
"22.03.2026","****7648","COOP PRONTO GENÈVE, GARE","Dépense","-38.45","CHF","Alimentation"
"18.03.2026","****7648","CFF MOBILE TICKET","Dépense","-72.00","CHF","Transports"
"12.03.2026","****7648","RESTAURANT DU PONT","Dépense","-96.50","CHF","Restaurants et bars"
"19.03.2026","****1601","MIGROS FRIBOURG","Dépense","-54.20","CHF","Alimentation"
"11.03.2026","****1601","PHARMACIE CENTRALE","Dépense","-31.80","CHF","Santé, sport et beauté"
"27.03.2026","CH93 0076 2011 6238 5295 7","VIREMENT DEPUIS COMPTE COURANT","Revenu","800.00","CHF","Transferts entre comptes"
"31.03.2026","CH93 0076 2011 6238 5295 7","INTERETS CREDITEURS","Revenu","2.15","CHF","Autres revenus"
